record _id__id_enregistrement,year__année,month__mois,day__jours,age__âge,forklength__longeur_fourche
1,1973,5,18,5,47
2,1973,5,18,4,54
3,1973,5,18,5,56
4,1973,5,18,5,56
5,1973,5,18,4,58
6,1973,5,22,5,54
7,1973,5,22,4,55
8,1973,5,22,5,56
9,1973,5,22,5,58
10,1973,5,22,5,60
11,1973,5,23,4,48
12,1973,5,23,4,51
13,1973,5,23,4,53
14,1973,5,23,5,60
15,1973,5,24,4,45
16,1973,5,24,4,54
17,1973,5,29,5,57
18,1973,5,30,4,53
19,1973,5,31,5,54
20,1973,5,31,5,56
21,1973,5,31,5,60
22,1973,6,1,5,52
23,1973,6,4,4,48
24,1973,6,4,4,54
25,1973,6,4,5,56
26,1973,6,5,5,49
27,1973,6,5,4,53
28,1973,6,6,4,45.5
29,1973,6,11,6,57.3
30,1973,6,12,6,52
31,1973,6,13,5,50
32,1973,6,14,5,52.5
33,1973,6,17,5,51
34,1973,6,28,6,55.5
35,1975,5,17,8,68
36,1975,5,21,4,46
37,1975,5,25,6,57
38,1975,5,31,3,34
39,1975,6,5,5,53
40,1975,6,9,6,59.5
41,1975,6,10,8,66.5
42,1976,5,6,9,66
43,1976,5,10,4,46
44,1976,5,14,3,36
45,1976,5,14,3,46.3
46,1976,5,17,3,37.1
47,1976,5,17,3,38.9
48,1976,5,17,3,39.3
49,1976,5,17,3,39.4
50,1976,5,18,3,36
51,1976,5,18,3,44.1
52,1976,5,18,3,44.8
53,1976,5,19,4,41.7
54,1976,5,19,4,47.5
55,1976,5,20,3,34.5
56,1976,5,20,3,35.3
57,1976,5,20,3,35.6
58,1976,5,20,3,38.5
59,1976,5,20,4,45
60,1976,5,20,4,47.5
61,1976,5,23,3,35.4
62,1976,5,23,3,37
63,1976,5,23,3,38.7
64,1976,5,23,4,43.5
65,1976,5,24,3,36.7
66,1976,5,24,3,37.1
67,1976,5,24,3,38
68,1976,5,25,3,35.9
69,1976,5,25,3,38.4
70,1976,5,25,3,45.4
71,1976,6,8,3,47.5
72,1977,5,18,5,50
73,1977,5,21,4,42.8
74,1977,5,22,4,40.5
75,1977,5,22,4,40.5
76,1977,5,22,4,41.3
77,1977,5,22,5,42
78,1977,5,23,3,33.5
79,1977,5,23,3,37.4
80,1977,5,23,3,38
81,1977,5,23,4,41.7
82,1977,5,23,4,42.7
83,1977,5,23,4,43.3
84,1977,5,24,3,34.1
85,1977,5,24,3,34.4
86,1977,5,24,3,35.2
87,1977,5,24,3,35.5
88,1977,5,24,3,36.2
89,1977,5,24,3,36.4
90,1977,5,24,3,37.1
91,1977,5,24,4,39.6
92,1977,5,24,4,39.7
93,1977,5,24,4,42.6
94,1977,5,24,4,43
95,1977,5,24,4,45.7
96,1977,5,24,4,45.7
97,1977,5,24,4,47
98,1977,5,24,4,47.4
99,1977,5,25,3,35.1
100,1977,5,25,3,36.2
101,1977,5,25,3,37.3
102,1977,5,25,4,44.2
103,1977,5,26,3,34.9
104,1977,5,26,3,35.1
105,1977,5,26,3,35.1
106,1977,5,26,3,35.9
107,1977,5,26,3,36
108,1977,5,26,3,36
109,1977,5,26,3,36.1
110,1977,5,26,3,36.2
111,1977,5,26,3,36.4
112,1977,5,26,3,36.5
113,1977,5,26,3,37.2
114,1977,5,26,3,37.9
115,1977,5,26,3,38.6
116,1977,5,26,4,43.8
117,1977,5,26,4,46
118,1977,5,26,10,71.4
119,1977,5,27,3,34.8
120,1977,5,27,3,35
121,1977,5,27,3,35.8
122,1977,5,27,3,35.9
123,1977,5,27,3,37.4
124,1977,5,27,4,43
125,1977,5,27,4,47.1
126,1977,5,27,4,49.2
127,1977,5,27,9,69
128,1977,5,31,3,33.4
129,1977,5,31,3,34.4
130,1977,6,1,3,34.4
131,1977,6,2,2,24
132,1977,6,2,3,34
133,1977,6,7,3,32.5
134,1977,6,7,4,51.1
135,1977,6,8,3,37.3
136,1977,6,8,3,38
137,1977,6,8,4,49.5
138,1977,6,9,3,35.6
139,1977,6,9,3,35.9
140,1977,6,9,3,36.9
141,1977,6,9,3,37
142,1977,6,11,3,35.3
143,1977,6,13,3,33.7
144,1977,6,13,3,34.4
145,1977,6,13,3,35
146,1977,6,13,3,35
147,1977,6,13,3,35.9
148,1977,6,14,3,24.4
149,1977,6,14,3,25.4
150,1977,6,14,3,37.6
151,1977,6,17,4,52.2
152,1977,6,21,3,26.5
153,1977,6,21,3,33.8
154,1977,6,22,3,32.2
155,1977,6,22,3,35.2
156,1977,6,22,3,36.3
157,1977,6,22,3,37.8
158,1977,6,23,3,33.7
159,1977,6,23,3,33.9
160,1977,6,23,3,35.5
161,1977,6,23,3,36.5
162,1977,6,23,3,36.5
163,1977,6,23,5,53.8
164,1979,5,7,6,49.5
165,1979,5,9,4,42.8
166,1979,5,9,6,48.2
167,1979,5,11,4,39
168,1979,5,11,4,40.9
169,1979,5,11,4,41.5
170,1979,5,14,4,40.7
171,1979,5,15,3,34.5
172,1979,5,15,4,40.4
173,1979,5,15,10,70.5
174,1979,5,18,4,47
175,1979,5,21,4,41.5
176,1979,5,21,4,47.5
177,1979,5,21,11,71
178,1979,5,22,5,53.3
179,1979,5,24,4,46.2
180,1979,5,24,6,54.7
181,1979,5,28,3,35.1
182,1979,5,28,4,41.3
183,1979,5,29,3,34.5
184,1979,5,30,3,34
185,1979,5,30,3,34.9
